name,number,type,shape,direction
C1+,2,bidirectional,line,left
C1-,4,bidirectional,line,left
-,,space,line,left
C2+,5,bidirectional,line,left
C2-,6,bidirectional,line,left
-,,space,line,left
T1IN,12,input,line,left
T2IN,11,input,line,left
R1OUT,13,output,inverted,left
R2OUT,10,output,inverted,left
~EN,1,input,inverted,left
V+,3,bidirectional,line,right
-,,space,line,right
-,,space,line,right
V-,7,bidirectional,line,right
-,,space,line,right
-,,space,line,right
T1OUT,15,output,inverted,right
T2OUT,8,output,inverted,right
R1IN,14,input,line,right
R2IN,9,input,line,right
~SHDN,18,input,inverted,right
VCC,17,powerInput,line,up
GND,16,powerInput,line,down
