number,name,type,shape,direction
,,,,
13,C0-,input,line,left
14,C0+,input,line,left
28,C0o,output,line,left
16,C1-,input,line,left
15,C1+,input,line,left
29,C1o,output,line,left
28,CAN0Rx,input,line,left
58,CAN0Rx,input,line,left
59,CAN0Rx,input,line,left
31,CAN0Tx,output,line,left
57,CAN0Tx,output,line,left
60,CAN0Tx,output,line,left
17,CAN1Rx,input,line,left
18,CAN1Tx,output,line,left
,,,,
33,HIB,output,line,left
47,I2C0SCL,openCollector,line,left
48,I2C0SDA,openCollector,line,left
23,I2C1SCL,openCollector,line,left
24,I2C1SDA,openCollector,line,left
59,I2C2SCL,openCollector,line,left
60,I2C2SDA,openCollector,line,left
61,I2C3SCL,openCollector,line,left
62,I2C3SDA,openCollector,line,left
5,IDX0,input,line,left
64,IDX0,input,line,left
16,IDX1,input,line,left
30,M0FAULT0,input,line,left
53,M0FAULT0,input,line,left
63,M0FAULT0,input,line,left
1,M0PWM0,output,line,left
4,M0PWM1,output,line,left
58,M0PWM2,output,line,left
57,M0PWM3,output,line,left
59,M0PWM4,output,line,left
60,M0PWM5,output,line,left
16,M0PWM6,output,line,left
61,M0PWM6,output,line,left
15,M0PWM7,output,line,left
62,M0PWM7,output,line,left
5,M1FAULT0,input,line,left
61,M1PWM0,output,line,left
62,M1PWM1,output,line,left
23,M1PWM2,output,line,left
59,M1PWM2,output,line,left
24,M1PWM3,output,line,left
60,M1PWM3,output,line,left
28,M1PWM4,output,line,left
29,M1PWM5,output,line,left
30,M1PWM6,output,line,left
31,M1PWM7,output,line,left
10,NMI,input,line,left
28,NMI,input,line,left
40,OSC0,input,line,left
41,OSC1,output,line,left
,,,,
28,PhA0,input,line,left
53,PhA0,input,line,left
15,PhA1,input,line,left
10,PhB0,input,line,left
29,PhB0,input,line,left
14,PhB1,input,line,left
38,RST,input,line,left
19,SSI0Clk,bidirectional,line,left
20,SSI0Fss,bidirectional,line,left
21,SSI0Rx,input,line,left
22,SSI0Tx,output,line,left
30,SSI1Clk,bidirectional,line,left
61,SSI1Clk,bidirectional,line,left
31,SSI1Fss,bidirectional,line,left
62,SSI1Fss,bidirectional,line,left
28,SSI1Rx,input,line,left
63,SSI1Rx,input,line,left
29,SSI1Tx,output,line,left
64,SSI1Tx,output,line,left
58,SSI2Clk,bidirectional,line,left
57,SSI2Fss,bidirectional,line,left
1,SSI2Rx,input,line,left
4,SSI2Tx,output,line,left
61,SSI3Clk,bidirectional,line,left
62,SSI3Fss,bidirectional,line,left
63,SSI3Rx,input,line,left
64,SSI3Tx,output,line,left
52,SWCLK,input,line,left
51,SWDIO,bidirectional,line,left
49,SWO,output,line,left
1,T0CCP0,bidirectional,line,left
28,T0CCP0,bidirectional,line,left
4,T0CCP1,bidirectional,line,left
29,T0CCP1,bidirectional,line,left
30,T1CCP0,bidirectional,line,left
58,T1CCP0,bidirectional,line,left
31,T1CCP1,bidirectional,line,left
57,T1CCP1,bidirectional,line,left
5,T2CCP0,bidirectional,line,left
45,T2CCP0,bidirectional,line,left
46,T2CCP1,bidirectional,line,left
47,T3CCP0,bidirectional,line,left
48,T3CCP1,bidirectional,line,left
52,T4CCP0,bidirectional,line,left
51,T4CCP1,bidirectional,line,left
50,T5CCP0,bidirectional,line,left
49,T5CCP1,bidirectional,line,left
,,,,
31,TRCLK,output,line,left
30,TRD0,output,line,left
29,TRD1,output,line,left
17,U0Rx,input,line,left
18,U0Tx,output,line,left
15,U1CTS,input,line,left
29,U1CTS,input,line,left
16,U1RTS,output,line,left
28,U1RTS,output,line,left
16,U1Rx,input,line,left
45,U1Rx,input,line,left
15,U1Tx,output,line,left
46,U1Tx,output,line,left
53,U2Rx,input,line,left
10,U2Tx,output,line,left
14,U3Rx,input,line,left
13,U3Tx,output,line,left
16,U4Rx,input,line,left
15,U4Tx,output,line,left
59,U5Rx,input,line,left
60,U5Tx,output,line,left
43,U6Rx,input,line,left
44,U6Tx,output,line,left
9,U7Rx,input,line,left
8,U7Tx,output,line,left
43,USB0DM,bidirectional,line,left
44,USB0DP,bidirectional,line,left
5,USB0EPEN,output,line,left
14,USB0EPEN,output,line,left
63,USB0EPEN,output,line,left
45,USB0ID,input,line,left
13,USB0PFLT,input,line,left
64,USB0PFLT,input,line,left
46,USB0VBUS,bidirectional,line,left
,,,,
32,WAKE,input,line,left
16,WT0CCP0,bidirectional,line,left
15,WT0CCP1,bidirectional,line,left
14,WT1CCP0,bidirectional,line,left
13,WT1CCP1,bidirectional,line,left
61,WT2CCP0,bidirectional,line,left
62,WT2CCP1,bidirectional,line,left
63,WT3CCP0,bidirectional,line,left
64,WT3CCP1,bidirectional,line,left
43,WT4CCP0,bidirectional,line,left
44,WT4CCP1,bidirectional,line,left
53,WT5CCP0,bidirectional,line,left
10,WT5CCP1,bidirectional,line,left
34,XOSC0,input,line,left
36,XOSC1,output,line,left
